Date,Open,High,Low,Close,Volume
2017-05-23,20908.669921875,20961.140625,20896.220703125,20937.91015625,2449500
2017-05-24,20949.2109375,21022.8203125,20933.580078125,21012.419921875,2831800
2017-05-25,21062.9609375,21112.3203125,21051.41015625,21082.94921875,2689700
2017-05-26,21070.150390625,21092.8203125,21050.490234375,21080.279296875,2080000
2017-05-30,21045.490234375,21063.619140625,21009.599609375,21029.470703125,2428100
2017-05-31,21048.4609375,21051.69921875,20942.5703125,21008.650390625,3715800
2017-06-01,21030.55078125,21144.1796875,20994.220703125,21144.1796875,2767300
2017-06-02,21142.08984375,21225.0390625,21129.560546875,21206.2890625,3297000
2017-06-05,21195.029296875,21224.41015625,21168.689453125,21184.0390625,2697900
2017-06-06,21145.48046875,21180.470703125,21118.4609375,21136.23046875,2835500
2017-06-07,21171.5703125,21189.83984375,21113.310546875,21173.689453125,2734000
2017-06-08,21169.759765625,21265.689453125,21138.16015625,21182.529296875,3303300
2017-06-09,21208.9609375,21305.349609375,21159.44921875,21271.970703125,3972000
2017-06-12,21259.94921875,21277.080078125,21186.150390625,21235.669921875,5280800
2017-06-13,21256.830078125,21332.76953125,21256.830078125,21328.470703125,3235100
2017-06-14,21342.7109375,21391.970703125,21294.08984375,21374.560546875,2950900
2017-06-15,21291.689453125,21367.279296875,21261.869140625,21359.900390625,3172000
2017-06-16,21335.9296875,21384.419921875,21308.009765625,21384.279296875,6032600
2017-06-19,21444.75,21528.990234375,21436.080078125,21528.990234375,2894000
2017-06-20,21521.25,21535.029296875,21464.240234375,21467.140625,3102000
2017-06-21,21466.390625,21492.619140625,21390.0,21410.029296875,2925000
2017-06-22,21407.98046875,21456.470703125,21394.810546875,21397.2890625,2706800
2017-06-23,21380.919921875,21421.7890625,21333.890625,21394.759765625,3684000
2017-06-26,21434.6796875,21506.2109375,21381.25,21409.55078125,2418800
2017-06-27,21411.189453125,21440.599609375,21310.66015625,21310.66015625,2921700
2017-06-28,21372.359375,21478.75,21372.359375,21454.609375,2715100
2017-06-29,21487.380859375,21487.380859375,21197.080078125,21287.029296875,3367500
2017-06-30,21348.599609375,21426.119140625,21325.080078125,21349.630859375,3132600
2017-07-03,21392.30078125,21562.75,21391.7109375,21479.26953125,1868100
2017-07-05,21492.830078125,21505.359375,21404.759765625,21478.169921875,2736900
2017-07-06,21423.9296875,21433.099609375,21305.380859375,21320.0390625,3204500
2017-07-07,21354.66015625,21425.8203125,21350.720703125,21414.33984375,2422400
2017-07-10,21381.23046875,21446.390625,21371.109375,21408.51953125,2703400
2017-07-11,21410.169921875,21441.619140625,21279.30078125,21409.0703125,2475700
2017-07-12,21467.9296875,21580.7890625,21467.9296875,21532.140625,2678700
2017-07-13,21537.189453125,21568.720703125,21512.359375,21553.08984375,2322700
2017-07-14,21532.76953125,21681.529296875,21521.720703125,21637.740234375,2355900
2017-07-17,21633.970703125,21661.810546875,21617.66015625,21629.720703125,2447800
2017-07-18,21589.939453125,21589.939453125,21471.140625,21574.73046875,2511100
2017-07-19,21569.25,21640.75,21565.83984375,21640.75,2530400
2017-07-20,21641.5390625,21661.91015625,21576.9609375,21611.779296875,3139500
2017-07-21,21591.720703125,21592.609375,21503.779296875,21580.0703125,3628300
2017-07-24,21577.779296875,21577.779296875,21496.130859375,21513.169921875,2840800
2017-07-25,21638.560546875,21670.619140625,21577.369140625,21613.4296875,3043000
2017-07-26,21690.380859375,21742.69921875,21683.2890625,21711.009765625,2782400
2017-07-27,21717.419921875,21798.470703125,21687.849609375,21796.55078125,4073200
2017-07-28,21787.509765625,21841.1796875,21756.119140625,21830.310546875,2856300
2017-07-31,21863.390625,21929.80078125,21861.7109375,21891.119140625,3076100
2017-08-01,21961.419921875,21990.9609375,21940.810546875,21963.919921875,3284100
